Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
07-Jul-26,360ONE,1150.1,1133.3,  0.01471516,  0.02090735,  0.02088102,  0.39893137,1151.4,1135.4,  0.01399358,  0.02097144,  0.02094230,  0.40010216,  0.02094230,  0.40010216
07-Jul-26,ABB,6978,7073, -0.01352238,  0.02009044,  0.02006305,  0.38330410,6909,7045, -0.01949324,  0.02009642,  0.02009355,  0.38388665,  0.02009355,  0.38388665
07-Jul-26,ABCAPITAL,405.4,409.75, -0.01067298,  0.02139853,  0.02135837,  0.40805113,407.2,411.35, -0.01013997,  0.02154466,  0.02150263,  0.41080724,  0.02150263,  0.41080724
07-Jul-26,ADANIENSOL,1651,1622.8,  0.01722811,  0.02804005,  0.02799630,  0.53486857,1654.1,1628.4,  0.01565912,  0.02818051,  0.02813175,  0.53745632,  0.02813175,  0.53745632
07-Jul-26,ADANIENT,3107.2,3206.6, -0.03148919,  0.02469394,  0.02473255,  0.47251465,3117,3213.4, -0.03045857,  0.02514522,  0.02517454,  0.48095882,  0.02517454,  0.48095882
07-Jul-26,ADANIGREEN,1519,1549.2, -0.01968645,  0.02932293,  0.02928257,  0.55944262,1520.8,1552.6, -0.02069443,  0.02948906,  0.02945154,  0.56267091,  0.02945154,  0.56267091
07-Jul-26,ADANIPORTS,1833.9,1864.4, -0.01649444,  0.01991320,  0.01989768,  0.38014462,1841.2,1868.5, -0.01471844,  0.01984524,  0.01982282,  0.37871436,  0.01989768,  0.38014462
07-Jul-26,ADANIPOWER,218.07,219.86, -0.00817487,  0.02666386,  0.02660337,  0.50825669,219.12,221.22, -0.00953816,  0.02669650,  0.02663816,  0.50892127,  0.02663816,  0.50892127
07-Jul-26,ALKEM,5667.5,5598.5,  0.01224940,  0.01459755,  0.01458680,  0.27868046,5685.5,5629,  0.00998727,  0.01458890,  0.01456964,  0.27835266,  0.01458680,  0.27868046
07-Jul-26,AMBER,7624.5,7614.5,  0.00131242,  0.02897484,  0.02890244,  0.55218030,7632.5,7629,  0.00045867,  0.02940498,  0.02933135,  0.56037456,  0.02933135,  0.56037456
07-Jul-26,AMBUJACEM,435.9,441.4, -0.01253863,  0.01881182,  0.01878554,  0.35889733,437.8,443.25, -0.01237176,  0.01904728,  0.01901976,  0.36337202,  0.01901976,  0.36337202
07-Jul-26,ANGELONE,335.8,345.95, -0.02977851,  0.02855990,  0.02856616,  0.54575570,337.2,346.4, -0.02691795,  0.02864382,  0.02863548,  0.54708002,  0.02863548,  0.54708002
07-Jul-26,APLAPOLLO,1819.8,1804.5,  0.00844306,  0.01795228,  0.01791717,  0.34230708,1823.6,1814.1,  0.00522309,  0.01776798,  0.01772732,  0.33867999,  0.01791717,  0.34230708
07-Jul-26,APOLLOHOSP,8837,8888.5, -0.00581085,  0.01265924,  0.01263438,  0.24137947,8862.5,8912, -0.00556979,  0.01237938,  0.01235471,  0.23603641,  0.01263438,  0.24137947
07-Jul-26,ASHOKLEY,164.16,166.12, -0.01186886,  0.02308244,  0.02303997,  0.44017806,164.32,166.46, -0.01293929,  0.02265118,  0.02261309,  0.43202243,  0.02303997,  0.44017806
07-Jul-26,ASIANPAINT,2731.5,2755, -0.00856653,  0.01485215,  0.01482747,  0.28327849,2739.6,2760.2, -0.00749122,  0.01479843,  0.01477077,  0.28219516,  0.01482747,  0.28327849
07-Jul-26,ASTRAL,1359.5,1389, -0.02146708,  0.01946862,  0.01947919,  0.37214949,1349.5,1364.9, -0.01134701,  0.01924137,  0.01920996,  0.36700580,  0.01947919,  0.37214949
07-Jul-26,AUBANK,1066.9,1061.4,  0.00516846,  0.01934322,  0.01929826,  0.36869270,1070.8,1065.8,  0.00468034,  0.01873091,  0.01868704,  0.35701530,  0.01929826,  0.36869270
07-Jul-26,AUROPHARMA,1583.1,1594.6, -0.00723797,  0.01753537,  0.01749899,  0.33431765,1585.8,1598.6, -0.00803923,  0.01758353,  0.01754871,  0.33526765,  0.01754871,  0.33526765
07-Jul-26,AXISBANK,1341,1339.6,  0.00104454,  0.01512573,  0.01508812,  0.28825822,1344.4,1342.4,  0.00148876,  0.01483109,  0.01479430,  0.28264468,  0.01508812,  0.28825822
07-Jul-26,BAJAJ-AUTO,10109.5,10036.5,  0.00724713,  0.01533174,  0.01530187,  0.29234187,10101,10054.5,  0.00461413,  0.01526298,  0.01522832,  0.29093660,  0.01530187,  0.29234187
07-Jul-26,BAJAJFINSV,1885.3,1870.7,  0.00777427,  0.01542314,  0.01539425,  0.29410668,1890.5,1873.6,  0.00897963,  0.01572946,  0.01570306,  0.30000653,  0.01570306,  0.30000653
07-Jul-26,BAJAJHLDNG,10759,10819, -0.00556123,  0.01930340,  0.01925906,  0.36794390,10769,10878, -0.01007076,  0.01937309,  0.01933780,  0.36944815,  0.01933780,  0.36944815
07-Jul-26,BAJFINANCE,1042.5,1029.1,  0.01293704,  0.01831567,  0.01829261,  0.34947980,1043.8,1034.6,  0.00885302,  0.01816186,  0.01812712,  0.34631822,  0.01829261,  0.34947980
07-Jul-26,BANDHANBNK,205.1,207.38, -0.01105519,  0.02417057,  0.02412281,  0.46086565,205.81,208.72, -0.01404023,  0.02434460,  0.02430396,  0.46432645,  0.02430396,  0.46432645
