Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 20-May-2026,Total applicable ELM%
1,360ONE,OTH,3.5,0,3.5
2,360ONE,OTM,5.25,0,5.25
3,ABB,OTH,3.5,0,3.5
4,ABB,OTM,5.25,0,5.25
5,ABCAPITAL,OTH,3.5,0,3.5
6,ABCAPITAL,OTM,5.25,0,5.25
7,ADANIENSOL,OTH,3.5,15,18.5
8,ADANIENSOL,OTM,5.25,15,20.25
9,ADANIENT,OTH,3.5,0,3.5
10,ADANIENT,OTM,5.25,0,5.25
11,ADANIGREEN,OTH,3.5,0,3.5
12,ADANIGREEN,OTM,5.25,0,5.25
13,ADANIPORTS,OTH,3.5,0,3.5
14,ADANIPORTS,OTM,5.25,0,5.25
15,ADANIPOWER,OTH,3.5,0,3.5
16,ADANIPOWER,OTM,5.25,0,5.25
17,ALKEM,OTH,3.5,0,3.5
18,ALKEM,OTM,5.25,0,5.25
19,AMBER,OTH,3.5,5.25,8.75
20,AMBER,OTM,5.25,7.88,13.13
21,AMBUJACEM,OTH,3.5,15,18.5
22,AMBUJACEM,OTM,5.25,15,20.25
23,ANGELONE,OTH,3.5,0,3.5
24,ANGELONE,OTM,5.25,0,5.25
25,APLAPOLLO,OTH,3.5,0,3.5
26,APLAPOLLO,OTM,5.25,0,5.25
27,APOLLOHOSP,OTH,3.5,0,3.5
28,APOLLOHOSP,OTM,5.25,0,5.25
29,ASHOKLEY,OTH,3.5,0,3.5
30,ASHOKLEY,OTM,5.25,0,5.25
31,ASIANPAINT,OTH,3.5,0,3.5
32,ASIANPAINT,OTM,5.25,0,5.25
33,ASTRAL,OTH,3.5,0,3.5
34,ASTRAL,OTM,5.25,0,5.25
35,AUBANK,OTH,3.5,0,3.5
36,AUBANK,OTM,5.25,0,5.25
37,AUROPHARMA,OTH,3.5,15,18.5
38,AUROPHARMA,OTM,5.25,15,20.25
39,AXISBANK,OTH,3.5,0,3.5
40,AXISBANK,OTM,5.25,0,5.25
41,BAJAJ-AUTO,OTH,3.5,0,3.5
42,BAJAJ-AUTO,OTM,5.25,0,5.25
43,BAJAJFINSV,OTH,3.5,0,3.5
44,BAJAJFINSV,OTM,5.25,0,5.25
45,BAJAJHLDNG,OTH,3.5,0,3.5
46,BAJAJHLDNG,OTM,5.25,0,5.25
47,BAJFINANCE,OTH,3.5,0,3.5
48,BAJFINANCE,OTM,5.25,0,5.25
49,BANDHANBNK,OTH,3.5,15,18.5
50,BANDHANBNK,OTM,5.25,15,20.25
51,BANKBARODA,OTH,3.5,0,3.5
52,BANKBARODA,OTM,5.25,0,5.25
53,BANKINDIA,OTH,3.5,0,3.5
54,BANKINDIA,OTM,5.25,0,5.25
55,BDL,OTH,3.5,0,3.5
56,BDL,OTM,5.25,0,5.25
57,BEL,OTH,3.5,0,3.5
58,BEL,OTM,5.25,0,5.25
59,BHARATFORG,OTH,3.5,0,3.5
60,BHARATFORG,OTM,5.25,0,5.25
61,BHARTIARTL,OTH,3.5,0,3.5
62,BHARTIARTL,OTM,5.25,0,5.25
63,BHEL,OTH,3.5,1.75,5.25
64,BHEL,OTM,5.25,2.63,7.88
65,BIOCON,OTH,3.5,0,3.5
66,BIOCON,OTM,5.25,0,5.25
67,BLUESTARCO,OTH,3.5,0,3.5
68,BLUESTARCO,OTM,5.25,0,5.25
69,BOSCHLTD,OTH,3.5,0,3.5
70,BOSCHLTD,OTM,5.25,0,5.25
71,BPCL,OTH,3.5,0,3.5
72,BPCL,OTM,5.25,0,5.25
73,BRITANNIA,OTH,3.5,0,3.5
74,BRITANNIA,OTM,5.25,0,5.25
75,BSE,OTH,3.5,0,3.5
76,BSE,OTM,5.25,0,5.25
77,CAMS,OTH,3.5,0,3.5
78,CAMS,OTM,5.25,0,5.25
79,CANBK,OTH,3.5,0,3.5
80,CANBK,OTM,5.25,0,5.25
81,CDSL,OTH,3.5,0,3.5
82,CDSL,OTM,5.25,0,5.25
83,CGPOWER,OTH,3.5,0,3.5
84,CGPOWER,OTM,5.25,0,5.25
85,CHOLAFIN,OTH,3.5,0,3.5
86,CHOLAFIN,OTM,5.25,0,5.25
87,CIPLA,OTH,3.5,0,3.5
88,CIPLA,OTM,5.25,0,5.25
89,COALINDIA,OTH,3.5,0,3.5
90,COALINDIA,OTM,5.25,0,5.25
91,COCHINSHIP,OTH,3.5,0,3.5
92,COCHINSHIP,OTM,5.25,0,5.25
93,COFORGE,OTH,3.5,0,3.5
94,COFORGE,OTM,5.25,0,5.25
95,COLPAL,OTH,3.5,0,3.5
96,COLPAL,OTM,5.25,0,5.25
