exchange,instrument_type,underlying_symbol,expiry_date,strike_price
NSE,PE,360ONE,2026-06-30,1280
NSE,PE,360ONE,2026-07-28,1360
NSE,PE,360ONE,2026-06-30,1340
NSE,CE,360ONE,2026-06-30,1100
NSE,FUT,031NSETEST,2036-11-27,-0.01
NSE,FUT,061NSETEST,2036-11-27,-0.01
NSE,FUT,091NSETEST,2036-11-27,-0.01
NSE,CE,360ONE,2026-06-30,640
NSE,CE,360ONE,2026-06-30,1380
NSE,CE,360ONE,2026-07-28,1000
NSE,CE,360ONE,2026-07-28,1520
NSE,PE,360ONE,2026-06-30,880
NSE,CE,360ONE,2026-06-30,1440
NSE,PE,360ONE,2026-07-28,880
NSE,PE,360ONE,2026-06-30,1400
NSE,PE,360ONE,2026-06-30,600
NSE,CE,360ONE,2026-07-28,1240
NSE,FUT,151NSETEST,2036-11-27,-0.01
NSE,FUT,121NSETEST,2036-11-27,-0.01
NSE,CE,360ONE,2026-06-30,980
NSE,CE,360ONE,2026-07-28,920
NSE,PE,360ONE,2026-06-30,720
NSE,CE,360ONE,2026-06-30,1260
NSE,PE,360ONE,2026-06-30,1640
NSE,PE,360ONE,2026-06-30,1220
NSE,CE,360ONE,2026-06-30,1320
NSE,PE,360ONE,2026-06-30,1160
NSE,PE,360ONE,2026-07-28,1200
NSE,CE,360ONE,2026-07-28,640
NSE,PE,360ONE,2026-06-30,1560
NSE,PE,360ONE,2026-06-30,940
NSE,PE,360ONE,2026-07-28,1120
NSE,PE,360ONE,2026-07-28,760
NSE,PE,360ONE,2026-07-28,1600
NSE,CE,360ONE,2026-06-30,820
NSE,CE,360ONE,2026-06-30,760
NSE,PE,360ONE,2026-06-30,1000
NSE,CE,360ONE,2026-06-30,1040
NSE,FUT,360ONE,2026-06-30,-0.01
NSE,PE,360ONE,2026-07-28,1480
NSE,CE,360ONE,2026-07-28,1160
NSE,PE,360ONE,2026-06-30,1300
NSE,PE,360ONE,2026-06-30,1180
NSE,CE,360ONE,2026-06-30,1280
NSE,CE,360ONE,2026-06-30,680
NSE,CE,360ONE,2026-06-30,920
NSE,PE,360ONE,2026-06-30,1240
NSE,CE,360ONE,2026-06-30,1340
NSE,PE,360ONE,2026-07-28,720
NSE,FUT,171NSETEST,2036-11-27,-0.01
NSE,CE,360ONE,2026-07-28,880
NSE,PE,360ONE,2026-06-30,1060
NSE,CE,360ONE,2026-06-30,1400
NSE,CE,360ONE,2026-06-30,800
NSE,CE,360ONE,2026-06-30,740
NSE,PE,360ONE,2026-07-28,840
NSE,PE,360ONE,2026-07-28,1520
NSE,PE,360ONE,2026-07-28,1080
NSE,CE,360ONE,2026-07-28,1280
NSE,PE,360ONE,2026-06-30,640
NSE,CE,360ONE,2026-06-30,1160
NSE,CE,360ONE,2026-06-30,1220
NSE,PE,360ONE,2026-06-30,760
NSE,CE,360ONE,2026-07-28,760
